DATE,DS (DOBSON),
1/2/2015,243.1,
1/7/2015,242.1,
1/19/2015,246.7,
1/27/2015,244.1,
1/28/2015,237.3,
2/2/2015,247.3,
2/4/2015,234.6,
2/9/2015,264.5,
2/11/2015,259.1,
2/12/2015,256.5,
2/17/2015,270.3,
2/19/2015,251.8,
2/20/2015,256.8,
2/26/2015,262,
2/27/2015,265,
3/2/2015,253.4,
3/3/2015,243.3,
3/4/2015,242.5,
3/5/2015,247.9,
3/6/2015,252,
3/9/2015,267.8,
3/10/2015,248.3,
3/11/2015,248.6,
3/12/2015,274.9,
3/13/2015,272.9,
3/16/2015,259.8,
3/17/2015,260.9,
3/18/2015,246.1,
3/19/2015,276.9,
3/20/2015,246.8,
3/27/2015,248.6,
5/14/2015,252.3,
5/15/2015,252.7,
5/20/2015,268.6,
5/22/2015,267.2,
5/25/2015,261.3,
5/27/2015,262.9,
5/29/2015,256.5,
6/2/2015,256.8,
6/3/2015,270.1,
6/4/2015,276.8,
6/15/2015,267.3,
6/16/2015,272.5,
6/17/2015,267.3,
6/25/2015,247.5,
7/13/2015,262,
7/16/2015,282.3,
7/17/2015,279,
7/20/2015,263.6,
7/27/2015,288.5,
7/31/2015,283.6,
8/4/2015,267.8,
8/5/2015,273.4,
8/10/2015,294.9,
8/12/2015,275,
8/13/2015,282.5,
8/14/2015,272.9,
8/19/2015,268.1,
8/24/2015,297.2,
8/25/2015,282.1,
8/26/2015,272.9,
8/27/2015,263.6,
8/28/2015,272.7,
9/1/2015,275,
9/2/2015,278.4,
9/8/2015,288.1,
9/9/2015,286.1,
9/10/2015,279.9,
9/11/2015,282.8,
9/14/2015,275.2,
9/15/2015,276.1,
9/16/2015,268.3,
9/17/2015,271.3,
9/18/2015,270.2,
9/21/2015,296.7,
9/22/2015,287.8,
9/23/2015,275.7,
9/24/2015,272.9,
9/25/2015,275.8,
9/28/2015,278.7,
9/29/2015,277.7,
9/30/2015,284.9,
10/1/2015,278.9,
10/2/2015,323.3,
10/5/2015,272.7,
10/6/2015,274,
10/9/2015,271.6,
10/12/2015,267,
10/13/2015,263.4,
10/14/2015,275,
10/15/2015,271.8,
10/16/2015,276,
10/19/2015,256.2,
10/21/2015,272.7,
10/22/2015,257.2,
10/26/2015,281.4,
